threshold,score,feasible,precision,recall,f1,worst_group_sensitivity,macro_avg_fnr,fnr_gap,method,epsilon,clipping
0.025,1.376419450711835,False,0.33084532374100717,0.6987654320987654,0.44906927067439734,0.6928341384863124,0.3015512874630646,0.011229148101246034,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.03,1.2614767817578305,False,0.3500411692054343,0.6459639126305793,0.4540417862625993,0.644122383252818,0.354134421462408,0.0034863905695480257,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.04,1.027086338382568,False,0.3895582329317269,0.5527065527065527,0.45700824499411075,0.5471014492753623,0.44759274893297685,0.010611603583321638,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.05,0.8333558557425725,False,0.42107012296444,0.4812915479582146,0.4491713196844811,0.4690016103059581,0.5193647108484593,0.02326735769116528,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.07,0.5439832546064158,False,0.46481525064721113,0.37511870845204176,0.4151776329619508,0.355877616747182,0.6259087284836546,0.036427309538326846,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.1,0.24546045790554788,False,0.5030433225921948,0.2668566001899335,0.34872176718788783,0.24436392914653784,0.7343444647686944,0.042583212169535534,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.12,0.17707171362447727,False,0.5227557411273487,0.23779677113010447,0.3268929503916449,0.21859903381642512,0.7632283507652862,0.03634523083657748,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.15,0.10383152299901628,False,0.5330758087880251,0.20968660968660968,0.3009814612868048,0.19243156199677938,0.7912347763550802,0.03266732329628075,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.18,0.06126074343103691,False,0.5416445623342175,0.1939221272554606,0.2855944055944056,0.17713365539452497,0.8069743445429389,0.03178400012507232,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.2,0.04125869345251047,False,0.5471803461753211,0.18613485280151948,0.2777777777777778,0.16988727858293076,0.8147327361130654,0.030759970608007725,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.22,0.01902733356506132,False,0.5529411764705883,0.1785375118708452,0.2699210337401292,0.16183574879227053,0.8223543298469427,0.031619842721573366,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.25,-0.006024570158283116,False,0.5577043044291953,0.1698005698005698,0.2603377984857309,0.1529790660225443,0.8310976658380627,0.0318465362787862,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.3,-0.04449549237536857,False,0.5625427204374572,0.15631528964862298,0.24464922711058265,0.13969404186795492,0.8445722527085973,0.03146741084689586,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.35,-0.06828266371012667,False,0.5715350223546944,0.145679012345679,0.2321779930376873,0.13123993558776167,0.8550920063161516,0.027336116192173576,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.4,-0.08837294471906512,False,0.5779527559055118,0.13941120607787275,0.22463657230298392,0.12399355877616747,0.8614120663508591,0.029188749745946874,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.45,-0.10992498697945333,False,0.5831946755407654,0.13314339981006648,0.21679294881707128,0.11634460547504026,0.8677536231884058,0.03180354267310792,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.5,-0.1303563009659228,False,0.5864527629233511,0.12497625830959164,0.20604352591200878,0.10950080515297907,0.8758501008395478,0.029298188014946103,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.005,1.9469241782942701,False,0.21328224776500637,0.9515669515669516,0.34846113719353156,0.9464573268921095,0.04870589246908369,0.009673561277613624,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.01,1.821160900648708,True,0.25101843910806176,0.8894586894586894,0.3915388152669203,0.8860708534621579,0.11072221440520301,0.006413864265278374,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.015,1.6723976649384047,True,0.28013428885015174,0.8241215574548908,0.4181362628890816,0.8200483091787439,0.1760959460938355,0.0077114894548410695,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.02,1.53130942459726,True,0.30613636363636365,0.7675213675213676,0.43769293257514214,0.7588566827697263,0.23294130981973954,0.01640401482106843,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.025,1.4155919423091436,True,0.3269714583152598,0.7158594491927825,0.44890424011434016,0.7089371980676329,0.28451018557603613,0.013105232712662007,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.03,1.3004782762385994,False,0.3454509532747209,0.6641975308641975,0.4545100077982844,0.6602254428341385,0.33601457092381537,0.007519972484092363,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.04,1.101318197289532,False,0.3793273376863373,0.5848053181386514,0.4601703781198625,0.5772946859903382,0.4155957350343167,0.014219157950690231,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.05,0.9237918932603242,False,0.40925535122098283,0.5156695156695157,0.4563408689805866,0.5048309178743962,0.48490924440692273,0.020519675437362217,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.07,0.6598339311950753,False,0.4512295081967213,0.4182336182336182,0.43410547067520944,0.4001610305958132,0.5827314228538374,0.03421509310069881,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.1,0.38075470873368,False,0.4823021582733813,0.3183285849952517,0.38352402745995423,0.2946859903381642,0.682933883651486,0.04476025202069944,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
0.12,0.28993721647732357,False,0.5,0.27996201329534665,0.35894313892609275,0.2604669887278583,0.7210789831621406,0.03690805622000215,DP-SGD MLP ε=5.0 [fixed],5.0,fixed
